,Количество комнат,Площадь,Этаж,Адрес,Цена в usd,Цена в kgs
515,2.0,68.0,6.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",88000.0,7560960.0
516,2.0,73.0,4.0,"Бишкек,Магистраль,А.Токомбаева/А.Куттубаева",69000.0,5928480.0
517,2.0,50.0,5.0,"Бишкек,АЮGrand,ул.Анкар1/19",62000.0,5327040.0
518,2.0,56.29,4.0,"Бишкек,Гагарина,ул.Поваринская,мкр.Джал",69500.0,5971440.0
519,1.0,37.0,8.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",53000.0,4553760.0
520,3.0,70.0,5.0,"Бишкек,Джальскаябольница,Тыналиева2/21",93000.0,7990560.0
521,2.0,70.0,4.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",93000.0,7990560.0
522,2.0,50.0,5.0,"Бишкек,Магистраль,Магистраль/СухэБатора",79000.0,6787680.0
523,3.0,105.0,10.0,"Бишкек,Золотойквадрат,Раззакова/Московская",175000.0,15036000.0
524,3.0,100.0,10.0,"Бишкек,Магистраль,Токомбаева17/3",127000.0,10911840.0
525,2.0,50.0,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",69000.0,5928480.0
526,2.0,72.0,2.0,"Бишкек,Госрегистр,Л.Толстогоипр.ЧынгызаАйтматова",95000.0,8162400.0
527,2.0,72.0,2.0,"Бишкек,Баха,Джал-15",95000.0,8162400.0
528,2.0,46.0,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",64000.0,5498880.0
529,4.0,145.0,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",220000.0,18902400.0
530,2.0,72.0,2.0,"Бишкек,Магистраль,пр.Ч.Айтматова",95000.0,8162400.0
531,2.0,72.0,2.0,"Бишкек,Джал15м-н,Ахунбаева/Тыналиева",95000.0,8162400.0
532,2.0,46.0,5.0,"Бишкек,Золотойквадрат,Раззакова15/Боконбаева",64000.0,5498880.0
533,4.0,145.0,5.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",220000.0,18902400.0
534,3.0,100.0,8.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",150000.0,12888000.0
535,2.0,98.0,6.0,"Бишкек,Юг-2м-н,Фатьянова/Кулатова",98600.0,8471712.0
536,4.0,158.0,8.0,"Бишкек,Космос,Абая93Б",237000.0,20363040.0
537,2.0,65.53,5.0,"Бишкек,Политех,Сухомлинова/Ч.Айтматова",79000.0,6787680.0
538,2.0,66.0,3.0,"Бишкек,Кок-Жарм-н",83000.0,7131360.0
539,2.0,80.0,5.0,"Бишкек,АЮGrand,ул.Анкар1/19",135000.0,11599200.0
540,3.0,90.0,8.0,"Бишкек,Цирк/Дворецбракосочетания,Фрунзе/Эркиндик",118000.0,10138560.0
541,4.0,140.0,10.0,"Бишкек,Магистраль",250000.0,21480000.0
542,3.0,115.0,10.0,"Бишкек,Магистраль",85100.0,7311792.0
543,2.0,86.0,10.0,"Бишкек,Магистраль,ул.Куттубаева,15",102000.0,8763840.0
544,3.0,124.0,8.0,"Бишкек,Арча-Бешикж/м,ул.Баха/ЮжнаяМагистраль",189000.0,16238880.0
545,1.0,52.0,13.0,"Бишкек,Политех,Джунусалиева/АжыбекБаатыра",39000.0,3350880.0
546,3.0,108.0,10.0,"Бишкек,Магистраль,пр.Ч.Айтматова",150000.0,12888000.0
547,4.0,110.0,11.0,"Бишкек,Магистраль",121000.0,10396320.0
548,3.0,84.0,3.0,"Бишкек,Политех,г.Бишкек,ул.Целинная21(районПолитех)",94500.0,8119440.0
549,1.0,47.5,7.0,"Бишкек,Магистраль,СухэБатора/Токомбаева",72000.0,6186240.0
550,2.0,56.26,11.0,"Бишкек,Мед.академия",50634.0,4350473.0
551,2.0,100.0,11.0,"Бишкек,АкКеме,Джунусалиева/АжыбекБаатыра",119000.0,10224480.0
552,1.0,42.0,1.0,"Бишкек,Магистраль,ул.Куттубаева,15",60000.0,5155200.0
553,3.0,102.57,12.0,"Бишкек,ПаркПанфилова/Спартак,Панфилова190/1",92313.0,7931533.0
554,3.0,125.0,11.0,"Бишкек,Магистраль",205000.0,17613600.0
555,1.0,50.0,12.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",62500.0,5370000.0
556,2.0,80.0,6.0,"Бишкек,Джал-29м-н,Тыналиева",90900.0,7810128.0
557,1.0,35.0,2.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",61000.0,5241120.0
